#Phase-2 Materials Map           
#i cr sl tb dcc spigot fiber fibcha subdet ieta iphi depth  
1192 61 1 u 0 0 18 2 HE 1 18 2 
1192 61 1 u 0 0 18 3 HE 1 18 3 
1192 61 1 u 0 0 18 4 HE 1 18 4 
1192 61 1 u 0 0 18 5 HE 1 18 5 
1192 61 1 u 0 0 19 0 HE 1 19 0 
1192 61 1 u 0 0 19 1 HE 1 19 1 
1192 61 1 u 0 0 19 2 HE 1 19 2 
1192 61 1 u 0 0 19 3 HE 1 19 3 
1192 61 1 u 0 0 19 4 HE 1 19 4 
1192 61 1 u 0 0 19 5 HE 1 19 5 
1192 61 1 u 0 0 20 0 HE 1 20 0 
1192 61 1 u 0 0 20 1 HE 1 20 1 
1192 61 1 u 0 0 20 2 HE 1 20 2 
1192 61 1 u 0 0 20 3 HE 1 20 3 
1192 61 1 u 0 0 20 4 HE 1 20 4 
1192 61 1 u 0 0 20 5 HE 1 20 5 
1192 61 1 u 0 0 21 0 HE 1 21 0 
1192 61 1 u 0 0 21 1 HE 1 21 1 
1192 61 1 u 0 0 21 2 HE 1 21 2 
1192 61 1 u 0 0 21 3 HE 1 21 3 
1192 61 1 u 0 0 21 4 HE 1 21 4 
1192 61 1 u 0 0 21 5 HE 1 21 5 
1192 61 1 u 0 0 22 0 HE 1 22 0 
1192 61 1 u 0 0 22 1 HE 1 22 1 
1192 61 1 u 0 0 22 2 HE 1 22 2 
1192 61 1 u 0 0 22 3 HE 1 22 3 
1192 61 1 u 0 0 22 4 HE 1 22 4 
1192 61 1 u 0 0 22 5 HE 1 22 5 
1192 61 1 u 0 0 23 0 HE 1 23 0 
1192 61 1 u 0 0 23 1 HE 1 23 1 
1192 61 1 u 0 0 23 2 HE 1 23 2 
1192 61 1 u 0 0 23 3 HE 1 23 3 
1192 61 1 u 0 0 23 4 HE 1 23 4 
1192 61 1 u 0 0 23 5 HE 1 23 5 
1192 61 2 u 0 0 0 0 HE 1 24 0 
1192 61 2 u 0 0 0 1 HE 1 24 1 
1192 61 2 u 0 0 0 2 HE 1 24 2 
1192 61 2 u 0 0 0 3 HE 1 24 3 
1192 61 2 u 0 0 0 4 HE 1 24 4 
1192 61 2 u 0 0 0 5 HE 1 24 5 
1192 61 2 u 0 0 1 0 HE 1 25 0 
1192 61 2 u 0 0 1 1 HE 1 25 1 
1192 61 2 u 0 0 1 2 HE 1 25 2 
1192 61 2 u 0 0 1 3 HE 1 25 3 
1192 61 2 u 0 0 1 4 HE 1 25 4 
1192 61 2 u 0 0 1 5 HE 1 25 5 
